"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
0.920688722,42.28394074,0.633153893,138.2906194,0.5,"Mid",3,0,"Forage",1,414334,"mid-day","Foraging","Present"
1.172901891,61.78797181,0.665410017,182.1677832,0.5,"Mid",3,0,"Rest",2,414334,"mid-day","RST","Present"
1.17490546,66.7349923,0.428164531,200.2340154,0.6,"Tour",2,0,"Rest",1,414336,"mid-day","RST","Present"
0.67204309,18.1514197,0.627308322,268.9864179,0.2,"None",2,0,"Forage",1,414341,"morning","Foraging","Absent"
0.85628767,59.96338345,0.125789898,280.9921847,0.3,"Small",2,0,"Rest",2,414341,"morning","RST","Present"
1.688992544,36.15334599,0.656025099,161.0432735,0.3,"Small",5,0,"Social",1,414342,"morning","RST","Present"
2.680968316,28.38305865,0.936423525,142.758713,0.3,"Small",6,0,"Social",1,414343,"morning","RST","Present"
1.045455158,16.02417872,0.578550495,125.9837848,0.5,"Small",3,0,"Social",2,414345,"mid-day","RST","Present"
1.368973955,15.37136281,0.945297828,187.8122568,0.4,"None",4,0,"Social",1,414345,"mid-day","RST","Absent"
2.344492698,15.27985862,0.795449782,277.1495795,0.5,"Small",3,0,"Social",3,414345,"mid-day","RST","Present"
0.650207818,82.15591921,0.486905676,52.09604484,0.4,"Large",1,0,"Forage",2,414351,"mid-day","Foraging","Present"
3.979534961,108.8738629,0.013915177,36.16665576,0.4,"Tour",1,0,"Forage",1,414351,"mid-day","Foraging","Present"
0.384937411,68.95590302,0.282063611,80.84664575,0.5,"Tour",1,0,"Forage",4,414352,"mid-day","Foraging","Present"
1.045231432,64.52257921,0.658848504,94.7010346,0.5,"Tour",2,0,"Rest",1,414352,"mid-day","RST","Present"
1.655510474,68.00280918,0.651550893,115.3373551,0.5,"Mid",1,0,"Forage",5,414352,"mid-day","Foraging","Present"
2.662229887,40.53629265,0.162899839,120.763635,0.5,"Tour",1,0,"Forage",2,414352,"mid-day","Foraging","Present"
